participant_id,group,seniority,ai,senior,quality_score,time_mins,retention_score
1,control,senior,0,1,81.3,44.0,69.1
2,control,senior,0,1,77.2,46.4,74.5
3,ai,junior,1,0,78.4,35.7,51.6
4,control,junior,0,0,72.0,40.0,65.5
5,control,senior,0,1,76.7,36.4,70.8
6,ai,senior,1,1,84.1,34.4,63.5
7,ai,junior,1,0,73.8,41.7,53.8
8,ai,senior,1,1,70.9,34.7,73.7
9,ai,junior,1,0,68.8,35.6,61.3
10,control,junior,0,0,64.7,43.4,62.3
11,ai,junior,1,0,77.3,40.3,64.7
12,ai,junior,1,0,72.8,43.3,50.5
13,ai,senior,1,1,76.5,33.8,74.0
14,control,senior,0,1,79.0,47.2,71.0
15,control,senior,0,1,75.4,45.9,68.2
16,control,junior,0,0,77.5,45.2,67.4
17,ai,junior,1,0,70.8,40.8,53.3
18,ai,junior,1,0,77.5,43.9,64.0
19,ai,junior,1,0,70.3,33.2,60.5
20,ai,junior,1,0,81.3,33.1,56.6
21,control,senior,0,1,83.5,38.1,78.8
22,control,senior,0,1,73.4,38.0,77.8
23,ai,senior,1,1,81.3,38.6,68.9
24,control,senior,0,1,68.4,46.4,72.7
25,ai,junior,1,0,76.4,42.5,64.3
26,ai,junior,1,0,73.8,34.2,48.9
27,control,junior,0,0,66.2,43.3,63.1
28,ai,senior,1,1,87.9,34.9,80.8
29,ai,senior,1,1,80.1,31.5,70.1
30,ai,senior,1,1,82.4,32.8,69.1
31,control,senior,0,1,74.9,43.3,75.8
32,control,senior,0,1,71.9,39.6,71.8
33,control,senior,0,1,69.0,44.3,71.7
34,ai,senior,1,1,70.8,34.9,66.7
35,ai,senior,1,1,82.8,39.0,77.6
36,ai,senior,1,1,85.6,34.3,78.1
37,control,senior,0,1,68.6,43.4,80.5
38,ai,senior,1,1,79.8,39.8,71.9
39,control,junior,0,0,74.4,40.6,58.2
40,ai,junior,1,0,77.2,41.1,65.8
41,control,junior,0,0,76.1,50.2,67.8
42,ai,senior,1,1,85.8,36.2,69.3
43,control,junior,0,0,66.9,50.1,59.7
44,ai,senior,1,1,71.5,35.8,76.1
45,control,junior,0,0,69.4,48.5,59.6
46,ai,senior,1,1,70.9,31.5,70.9
47,control,junior,0,0,75.3,49.4,60.5
48,control,junior,0,0,69.0,45.6,65.3
49,ai,senior,1,1,75.5,29.8,72.1
50,ai,junior,1,0,74.9,39.8,55.9
51,ai,senior,1,1,72.7,39.3,64.2
52,control,senior,0,1,75.0,37.2,80.8
53,ai,senior,1,1,74.1,36.4,73.2
54,ai,junior,1,0,78.5,39.9,62.3
55,control,junior,0,0,70.5,42.1,58.4
56,ai,senior,1,1,74.7,36.1,75.0
57,control,junior,0,0,61.4,44.8,63.1
58,ai,junior,1,0,74.7,34.5,65.0
59,control,senior,0,1,75.3,46.3,82.8
60,control,junior,0,0,75.6,43.7,65.9
61,control,junior,0,0,73.4,46.7,66.8
62,control,junior,0,0,74.8,43.7,68.4
63,control,junior,0,0,68.0,50.5,62.7
64,control,senior,0,1,72.1,42.4,81.1
65,control,junior,0,0,73.4,41.8,62.2
66,control,senior,0,1,70.9,43.6,79.9
67,control,junior,0,0,64.3,50.2,73.2
68,control,senior,0,1,67.3,42.0,82.1
69,control,senior,0,1,74.0,43.4,78.9
70,control,senior,0,1,69.0,37.2,68.2
71,ai,junior,1,0,80.1,40.2,49.5
72,ai,senior,1,1,82.6,31.2,78.4
73,control,junior,0,0,77.0,44.1,58.8
74,control,senior,0,1,74.6,39.3,70.7
75,control,junior,0,0,69.8,47.1,59.0
76,control,junior,0,0,77.5,41.4,58.1
77,ai,senior,1,1,74.3,30.8,80.8
78,control,junior,0,0,67.1,47.8,57.6
79,control,junior,0,0,67.8,42.5,71.1
80,control,senior,0,1,67.5,45.3,73.8
81,control,junior,0,0,69.9,51.4,60.2
82,ai,junior,1,0,77.1,34.5,61.9
83,ai,senior,1,1,81.9,35.2,73.0
84,ai,junior,1,0,74.4,40.9,48.9
85,control,junior,0,0,66.1,40.6,62.9
86,control,junior,0,0,65.5,50.4,65.2
87,ai,junior,1,0,74.1,34.3,63.3
88,ai,senior,1,1,87.9,30.5,71.5
89,control,junior,0,0,69.7,48.1,59.9
90,control,junior,0,0,67.2,42.5,66.3
91,control,senior,0,1,74.7,39.0,75.0
92,ai,junior,1,0,71.5,37.1,52.5
93,control,senior,0,1,78.0,36.8,82.2
94,control,junior,0,0,75.6,40.6,67.6
95,control,senior,0,1,75.2,41.7,74.1
96,control,senior,0,1,78.7,36.0,78.4
97,ai,senior,1,1,83.1,39.2,68.0
98,control,junior,0,0,69.3,40.5,67.2
99,ai,senior,1,1,78.4,37.0,65.2
100,control,junior,0,0,78.0,50.0,65.6
101,ai,junior,1,0,66.1,38.2,56.8
102,control,junior,0,0,72.0,50.2,69.0
103,control,junior,0,0,78.4,49.7,74.2
104,control,senior,0,1,67.6,47.9,66.6
105,ai,junior,1,0,77.2,41.3,53.9
106,control,senior,0,1,82.6,43.9,70.5
107,ai,senior,1,1,83.0,28.6,65.5
108,ai,junior,1,0,71.7,39.6,65.5
109,ai,junior,1,0,78.3,32.2,60.3
110,control,senior,0,1,76.7,46.8,74.4
111,ai,junior,1,0,76.4,35.8,56.4
112,control,junior,0,0,64.1,47.1,58.3
113,control,junior,0,0,68.8,47.2,72.0
114,ai,junior,1,0,68.0,43.7,51.3
115,control,junior,0,0,71.2,46.6,68.3
116,control,junior,0,0,61.0,40.7,58.7
117,control,senior,0,1,66.6,42.3,67.0
118,control,junior,0,0,61.0,44.9,71.9
119,ai,senior,1,1,83.4,35.8,63.9
120,control,junior,0,0,76.3,47.0,64.5
121,control,senior,0,1,76.6,38.3,68.4
122,control,junior,0,0,66.1,51.1,74.0
123,ai,junior,1,0,71.1,40.0,65.6
124,control,junior,0,0,67.2,50.9,66.2
125,control,senior,0,1,68.7,39.8,83.7
126,control,junior,0,0,61.4,47.8,67.9
127,control,senior,0,1,83.3,38.7,83.0
128,ai,junior,1,0,72.0,34.6,53.2
129,control,junior,0,0,66.7,46.1,63.6
130,ai,senior,1,1,80.3,38.8,74.9
131,control,junior,0,0,71.6,50.3,65.0
132,control,senior,0,1,76.6,43.9,77.3
133,ai,senior,1,1,70.1,36.5,69.9
134,ai,senior,1,1,72.3,35.8,68.1
135,ai,senior,1,1,82.6,29.6,75.8
136,ai,senior,1,1,81.2,32.1,69.3
137,control,senior,0,1,80.7,37.0,69.6
138,ai,junior,1,0,80.5,43.4,56.4
139,ai,junior,1,0,76.0,41.0,64.9
140,ai,senior,1,1,72.9,38.8,73.3
141,ai,senior,1,1,85.4,29.1,72.6
142,control,junior,0,0,78.6,46.3,69.2
143,control,junior,0,0,76.9,41.1,61.1
144,control,senior,0,1,78.7,42.4,73.9
145,ai,senior,1,1,76.0,35.7,78.7
146,control,senior,0,1,76.6,41.9,75.3
147,control,junior,0,0,68.4,52.0,61.0
148,ai,senior,1,1,72.8,28.6,65.2
149,ai,junior,1,0,74.5,37.4,54.8
150,control,junior,0,0,68.9,44.2,70.5
151,ai,junior,1,0,69.8,33.4,63.2
152,ai,senior,1,1,87.1,28.5,76.5
153,control,senior,0,1,77.2,46.5,69.4
154,control,senior,0,1,83.5,41.4,73.5
155,ai,senior,1,1,70.9,32.6,71.7
156,ai,senior,1,1,87.3,37.2,67.1
157,ai,senior,1,1,82.4,37.5,80.6
158,control,junior,0,0,65.4,48.5,66.2
159,control,senior,0,1,66.0,46.1,82.3
160,control,senior,0,1,68.4,36.1,83.2
161,control,junior,0,0,62.6,47.6,69.4
162,control,senior,0,1,81.3,38.7,75.5
163,ai,senior,1,1,74.9,38.8,80.9
164,control,senior,0,1,66.6,45.7,66.7
165,control,senior,0,1,83.1,47.4,79.8
166,ai,senior,1,1,75.1,28.8,74.5
167,control,junior,0,0,72.8,47.1,58.2
168,control,junior,0,0,72.2,45.0,71.5
169,ai,senior,1,1,71.8,39.3,66.6
170,ai,junior,1,0,76.0,38.7,55.7
171,ai,senior,1,1,77.7,36.7,64.5
172,control,junior,0,0,72.7,50.5,72.4
173,ai,junior,1,0,67.6,37.5,59.8
174,ai,senior,1,1,87.6,39.1,70.8
175,control,junior,0,0,62.7,46.0,72.6
